Mileage,Power,Transmission,Fuel,Drive_type,Doors,Seats,CO2_emissions,Engine_capacity,Emission_class,Year,Make,Body,Interior_material,price,Link
50,129.0,0,1,0,1,5,112.0,1199.0,3,2024,Opel,SUV / offroad,Cloth interior,30099,/car/69886900/opel-grandland-1-2-ultimate-96-kw
77000,138.0,1,1,0,1,5,121.0,1332.0,3,2022,Nissan,SUV / offroad,Other interior material,22049,/car/69886132/nissan-qashqai-dig-t-acenta-103-kw
69326,70.0,1,1,0,0,5,88.0,1000.0,2,2020,Fiat,Cargo VAN,Other interior material,13599,/car/69886050/fiat-500c-52-kw
10,177.0,0,1,1,1,5,162.0,1598.0,3,2024,Kia,SUV / offroad,Full leather interior,36799,/car/69886030/kia-sportage-1-6-132-kw
10,99.0,0,1,0,1,5,111.0,1199.0,3,2024,Jeep,SUV / offroad,Cloth interior,34199,/car/69885724/jeep-avenger-1-2-74-kw
11583,257.0,0,2,0,1,5,24.0,1477.0,3,2023,Lynk & Co,SUV / offroad,Cloth interior,32049,/car/69885098/lynk-co-01-phev-192-kw
75754,148.0,0,0,0,1,5,119.0,1968.0,2,2020,Škoda,Station Wagon,Cloth interior,24149,/car/69884593/skoda-octavia-combi-2-0-tdi-110-kw
10,90.0,1,1,0,1,5,127.0,999.0,1,2024,Dacia,Hatchback,Cloth interior,18149,/car/69884378/dacia-sandero-stepway-tce-essential-67-kw
31300,109.0,0,1,0,1,5,110.0,999.0,3,2021,Seat,Hatchback,Cloth interior,19299,/car/69884356/seat-ibiza-1-0-tsi-dsg-style-81-kw
1233,168.0,1,0,0,1,3,281.0,1950.0,1,2024,Mercedes-Benz,Cargo VAN,Cloth interior,65749,/car/69884140/mercedes-benz-sprinter-317-cdi-125-kw
18801,129.0,0,1,0,1,5,99.0,1199.0,3,2023,Opel,Hatchback,Other interior material,19599,/car/69884130/opel-corsa-1-2-96-kw
159566,192.0,0,0,1,1,5,143.0,1950.0,1,2021,Mercedes-Benz,Sedans / saloons,Other interior material,27649,/car/69884088/mercedes-benz-c-220-d-143-kw
10,148.0,0,0,0,1,5,100.0,1968.0,1,2024,Škoda,Station Wagon,Cloth interior,35149,/car/69883864/skoda-octavia-combi-110-kw
